_RAJ2000 deg,_DEJ2000 deg,SpTypeFull,Sp,Tc,Lc,[Fe/H] sun,age Gyr,Npl,B-V mag,Kmag mag,Lum Lsun,Name
266.9166707,20.20304251,K2                        ,K2,62, ,     ,    , ,0.866,3.88,0.51,
266.9241827,-35.22217737,B8 II                     ,B8,28,2,     ,    , ,-0.001,      ,         ,
266.9245723,59.82434749,K0                        ,K0,60, ,     ,    , ,0.61,3.16,1.24,
266.9250689,-73.97087224,K0III                     ,K0,60,3,     ,    , ,1.072,      ,         ,
266.9255623,-57.44873078,F0IV                      ,F0,40,4,-0.31,2.1, ,0.403,2.07,5.32,
266.9253815,4.939645017,K1/2 V                    ,K1,61,5,-0.33,    , ,0.822,3.92,0.43,Gliese 9605
266.927256,-62.03278091,K1III                     ,K1,61,3,     ,    , ,1.118,      ,         ,
266.927891,-82.21643256,K2.5V k                 ,K2,62,5,-0.39,    , ,0.98,4.23,0.28,
266.9310833,-48.85712954,K2 III                    ,K2,62,3,     ,    , ,0.847,3.93,0.46,
266.9324253,-25.18883844,A0 IV/V                   ,A0,30,4,     ,    , ,0.28,      ,         ,
266.9332824,41.05943131,K0                        ,K0,60, ,     ,    , ,1.076,      ,         ,
266.933482,29.32949236,K0                        ,K0,60, ,     ,    , ,1.123,      ,         ,
266.9358837,-18.93066548,G8/K0 IV                  ,G8,58,4,     ,    , ,1.386,      ,         ,
266.9375065,12.16807378,F8                        ,F8,48, ,     ,    , ,0.635,      ,         ,
266.9396329,34.92324592,A3V                       ,A3,33,5,     ,    , ,0.124,1.16,21.65,
266.9400038,-22.47779222,G6Ib Hdel1                ,G6,56,1,     ,    , ,1.446,      ,         ,HR 6617
266.941804,-63.56263787,F8/G0V                    ,F8,48,5,-0.07,6, ,0.594,2.21,3.15,
266.9419856,-9.605124123,F3 V                      ,F3,43,5,-1.95,    , ,0.672,2.51,1.67,Wolf 1475
266.9481271,-34.3106801,B9 IIIP SI              ,B9,29,3,     ,    , ,0.002,-0.34,118.31,
266.9613673,-65.84474729,K0                        ,K0,60, ,     ,    , ,1.026,      ,         ,
266.9647624,-44.54361894,K1 III                    ,K1,61,3,     ,    , ,1.268,      ,         ,
266.9669079,34.27787292,B3V                       ,B3,23,5,     ,    , ,-0.144,-0.63,555.54,
266.9686332,-48.39799691,G6 V                      ,G6,56,5,     ,    , ,0.781,3.29,1.01,
266.9697957,6.402427064,K3                        ,K3,63, ,     ,    , ,1.565,      ,         ,
266.9731691,2.707276611,A1VnkA0mA0                ,A1,31,5,-0.6,    ,0,0.043,1.13,28.56,62 Gamma Ophiuchi HR 6629
266.9757443,-28.62666289,F2                        ,F2,42, ,     ,    , ,0.652,      ,         ,
266.9767015,36.00156085,A4V                       ,A4,34,5,     ,    , ,0.17,0.55,33.58,
266.9791946,64.09837729,A5                        ,A5,35, ,     ,    , ,0.269,1.62,10.5,
266.9829563,3.5746903,K2                        ,K2,62, ,     ,    , ,1.488,      ,         ,
266.9840567,14.7535882,K5                        ,K5,65, ,     ,    , ,1.052,      ,         ,
266.9862791,36.55514396,M3III                     ,M3,73,3,     ,    , ,1.655,-5.67,         ,
266.987825,1.541746646,A0 IV/V                   ,A0,30,4,     ,    , ,0.354,-0.34,38.86,
266.9897923,-34.01887288,G8V                       ,G8,58,5,0.14,2.7, ,0.748,3.44,0.89,Gliese 695.1
266.9913925,36.11703271,G5                        ,G5,55, ,-0.55,    , ,0.834,0.64,8.5,Gliese 4027
266.9940031,39.98080949,A5/6IV                    ,A5,35,4,     ,    , ,0.194,1.03,20.17,
266.9973736,47.58386508,K0                        ,K0,60, ,     ,    , ,1.042,-1.64,53.14,
267.0005604,9.782072914,A2                        ,A2,32, ,     ,    , ,0.188,      ,         ,
267.0019218,-37.17300358,G2/3 V                    ,G2,52,5,     ,    , ,0.615,      ,         ,
267.0044814,32.65585005,K0                        ,K0,60, ,     ,    , ,0.987,0.19,10.65,
267.0058565,44.10695363,G5                        ,G5,55, ,0.31,    , ,0.844,1.33,5.43,
267.0067077,-43.44331641,G3 V                      ,G3,53,5,-0.1,    , ,0.648,1.39,6.04,
267.0192221,-67.38344242,A3V                       ,A3,33,5,     ,    , ,0.171,      ,         ,
267.0265337,-66.2042571,B8III                     ,B8,28,3,     ,    , ,-0.089,      ,         ,
267.0272279,-27.44625793,F0                        ,F0,40, ,     ,    , ,0.563,      ,         ,
267.0275643,-18.29123702,AP SREUCR               ,,, ,     ,    , ,0.445,      ,         ,
267.031671,40.59216009,A7V                       ,A7,37,5,     ,    , ,0.249,0.7,25.43,
267.0374558,-69.56020845,K2III                     ,K2,62,3,     ,    , ,1.212,      ,         ,
267.0426498,6.271515456,A1Vas                     ,A1,31,5,     ,    , ,0.127,0.79,26.96,
267.0460092,-46.50389422,F8                        ,F8,48, ,     ,    , ,0.518,      ,         ,
267.0468993,-34.58194648,B8/9 IB/II                ,B8,28,1,     ,    , ,0.101,      ,         ,
267.0545147,38.23258835,G0                        ,G0,50, ,0.06,8.7, ,0.647,2.74,1.95,
267.0584811,-28.01475792,F8                        ,F8,48, ,     ,    , ,1.17,      ,         ,
267.0596631,-51.44744422,F3 V                      ,F3,43,5,0.06,1.7, ,0.451,1.72,6.41,
267.0606401,-65.5706781,B8Vn                      ,B8,28,5,     ,    , ,-0.056,      ,         ,
267.061093,-36.73062622,B5/6 V                    ,B5,25,5,     ,    , ,0,      ,         ,
267.0628105,-35.89529878,B9 V                      ,B9,29,5,     ,    , ,-0.042,0.63,77.27,
267.0639136,8.032227329,A0                        ,A0,30, ,     ,    , ,0.127,      ,         ,
267.0664771,-67.69608531,F2IV                      ,F2,42,4,-0.12,1.7, ,0.393,2.03,5.37,
267.0671183,-1.016551248,K3/4 III                  ,K3,63,3,     ,    , ,1.566,      ,         ,
267.069988,-32.67116069,A3 V                      ,A3,33,5,     ,    , ,0.135,1.98,9.79,
267.0716759,54.9917618,F8                        ,F8,48, ,     ,    , ,0.501,2.78,2.1,
267.0719991,-47.25510911,A2 III/IV                 ,A2,32,3,     ,    , ,0.147,0.89,24.4,
267.0762532,7.18097803,G5                        ,G5,55, ,     ,    , ,0.797,3.61,0.66,Ross 535
267.0773318,-42.70267938,F0 V                      ,F0,40,5,     ,    , ,0.344,      ,         ,
267.0800963,-1.808254313,A4 IV/V                   ,A4,34,4,     ,    , ,0.309,1.03,16.67,
267.0843444,3.80421523,B9/A0 III                 ,B9,29,3,     ,    , ,0.135,-1.47,184.55,HR 6633
267.0848825,3.692962687,G                         ,,, ,     ,    , ,0.562,      ,         ,
267.0846625,33.80029127,G0                        ,G0,50, ,-0.35,13.3, ,0.632,2.72,1.68,
267.0877397,15.73336832,K2                        ,K2,62, ,     ,    , ,1.192,      ,         ,
267.0925398,-60.66071616,G6V                       ,G6,56,5,0.1,14.4, ,0.711,2.98,1.33,
267.0935346,-35.97968141,G5/6 V                    ,G5,55,5,-0.26,10.2, ,0.654,2.29,2.64,
267.0938657,-23.23258332,F0 V                      ,F0,40,5,-0.27,2.2, ,0.413,1.97,5.82,
267.1025728,77.02923101,G0                        ,G0,50, ,0.22,2.8, ,0.596,1.03,9.47,
267.1031988,20.56543918,G5IV                      ,G5,55,4,-0.01,    , ,0.938,-0.95,38.08,HR 6638
267.1038021,-55.79102133,F3IV/V                    ,F3,43,4,     ,    , ,0.445,1.67,6.44,
267.098668,-81.89558338,G8/K0III:                 ,G8,58,3,     ,    , ,0.947,      ,         ,
267.1064815,-16.82718394,B9.5/A0 V                 ,B9,29,5,     ,    , ,0.186,      ,         ,
267.109394,-30.29947203,F7/8 V                    ,F7,47,5,0.19,3, ,0.529,2.19,3.54,
267.1159842,-26.97494405,B4IV                      ,B4,24,4,     ,    , ,0.094,-1.94,338.49,HR 6621
267.117243,-38.13350514,B2 II                     ,B2,22,2,     ,    , ,0.009,      ,         ,
267.1322626,-82.77429943,F5/6IV/V                  ,F5,45,4,-0.19,2.1, ,0.474,2.61,2.42,
267.1402249,23.65261405,G5                        ,G5,55, ,     ,    , ,1,      ,         ,
267.1450813,-55.35338937,G8III                     ,G8,58,3,     ,    , ,1.034,      ,         ,
267.1463361,39.28764803,K2                        ,K2,62, ,     ,    , ,1.008,3.96,0.45,
267.1490802,-62.93802284,F8V                       ,F8,48,5,     ,    , ,0.598,      ,2.74,
267.1535667,-2.196193193,B0/1 Ib                   ,B0,20,1,     ,    , ,0.153,      ,         ,
267.1562478,-45.0275541,F2/3 V                    ,F2,42,5,     ,    , ,0.363,      ,4.98,
267.1551786,44.83137436,G0                        ,G0,50, ,-0.09,2.2, ,0.456,1.73,6.68,
267.1562555,-30.47596183,K0                        ,K0,60, ,     ,    , ,1.247,      ,         ,
267.1585907,-55.4017416,A9IV                      ,A9,39,4,     ,    , ,0.283,1.75,8.49,HR 6614
267.1592722,-69.93107967,B8/9V                     ,B8,28,5,     ,    , ,-0.04,      ,         ,
267.1607812,-18.89642925,G0                        ,G0,50, ,     ,    , ,-0.3,      ,         ,
267.1616042,-10.27401163,G8/K0 IV                  ,G8,58,4,     ,    , ,1.158,-1.16,24.52,
267.1629454,21.08007326,G9III                     ,G9,59,3,     ,    , ,1.053,      ,         ,
267.1685542,64.76667225,A1V                       ,A1,31,5,     ,    , ,0.064,0.74,39.25,
267.1757886,23.2098443,K0                        ,K0,60, ,     ,    , ,0.978,      ,         ,
267.1780753,-39.89880536,B8 IB/II                  ,B8,28,1,     ,    , ,-0.034,0.14,97.92,
267.1799892,11.71494719,K5                        ,K5,65, ,     ,    , ,1.153,4.34,0.26,
267.1800259,-60.6770257,K0III                     ,K0,60,3,     ,    , ,1.058,      ,         ,
267.1807296,5.701265075,B7Vn                    ,B7,27,5,     ,    , ,-0.012,-0.54,173.44,
267.1810769,-48.24474192,G5/6 III                  ,G5,55,3,     ,    , ,0.905,      ,         ,
267.1826127,1.164203615,G6/8 III                  ,G6,56,3,     ,    , ,1.178,      ,         ,
267.1877903,1.164975371,F                         ,,, ,     ,    , ,0.486,      ,         ,
267.1928088,48.83570864,K2                        ,K2,62, ,     ,    , ,1.382,      ,         ,
267.1934201,16.6163986,M0                        ,M0,70, ,     ,    , ,1.547,      ,         ,
267.1967198,45.69983081,M6                        ,M6,76, ,     ,    , ,1.243,-6.22,65.86,
267.1983437,-35.05711975,B3 III                    ,B3,23,3,     ,    , ,0.111,      ,         ,
267.1994748,19.255018,A1V                       ,A1,31,5,     ,    , ,0.024,-0.01,87.45,HR 6642
267.2025013,22.97347013,M0                        ,M0,70, ,     ,    , ,1.625,      ,         ,
267.204777,25.62286921,K0IIIb                    ,K0,60,3,0.04,    , ,1.141,-1.66,54.61,87 Herculis HR 6644
267.213669,-40.30042178,F2 V                      ,F2,42,5,     ,    , ,0.385,      ,         ,
267.2139483,-33.86252025,B8Vnne                    ,B8,28,5,     ,    , ,0.17,      ,         ,
267.2145056,36.57710981,F2                        ,F2,42, ,     ,    , ,0.298,1.92,6.03,
267.2150557,-39.43034615,AP CREUSR  G         ,,, ,     ,    , ,0.474,3.02,1.9,
267.2157871,79.33268267,F2                        ,F2,42, ,-0.18,1.7, ,0.379,1.22,11.67,
267.2220248,59.89000958,F2                        ,F2,42, ,     ,    , ,0.433,2.01,5.59,
267.2383462,4.963186013,A8                        ,A8,38, ,     ,    , ,0.697,      ,         ,
267.2410026,4.967553735,F0IV                      ,F0,40,4,     ,    , ,0.453,1.66,6.17,
267.2411489,-59.38621276,B8V                       ,B8,28,5,     ,    , ,-0.031,      ,         ,
267.2429904,37.06172506,G0                        ,G0,50, ,-0.16,3.4, ,0.514,      ,3.1,
267.2464547,13.50209857,K0                        ,K0,60, ,     ,    , ,1.2,      ,         ,
267.2500619,-46.94074541,B1 IAB/B                  ,B1,21,1,     ,    , ,0.12,      ,         ,
267.2546049,-16.24998478,K1 V                      ,K1,61,5,-0.16,    , ,0.88,      ,0.46,
267.2560526,-57.72851796,K5III                     ,K5,65,3,     ,    , ,1.621,      ,         ,
267.2585243,68.34183032,A2                        ,A2,32, ,     ,    , ,0.116,-0.42,87.57,
267.259542,54.19438596,A2                        ,A2,32, ,     ,    , ,0.224,0.81,24.24,
267.2661193,62.79883149,F2                        ,F2,42, ,-0.1,1.4, ,0.373,2.3,4.19,
267.2678641,50.78105216,A2V                       ,A2,32,5,     ,    , ,0.043,0.76,39.45,30 Draconis HR 6656
267.2687368,-11.34147998,K0 III                    ,K0,60,3,     ,    , ,1.326,      ,         ,
267.2710634,-47.70254449,F2/3 V                    ,F2,42,5,     ,    , ,0.396,2.09,5.03,
267.2754824,63.04976057,F0                        ,F0,40, ,     ,    , ,0.388,1.02,13.04,
267.277081,-23.44774007,K1 III                  ,K1,61,3,     ,    , ,1.497,      ,         ,
267.2800051,-71.09529519,A3V                       ,A3,33,5,     ,    , ,0.127,0.11,54.17,
267.2832907,-36.52327198,B3 V                      ,B3,23,5,     ,    , ,-0.006,      ,         ,
267.2830565,8.269073187,A0                        ,A0,30, ,     ,    , ,0.134,      ,         ,
267.2936546,-31.70320662,B8III-IV                  ,B8,28,3,     ,    , ,-0.028,-1.4,379.28,HR 6628
267.2958926,-33.2502323,M0                        ,M0,70, ,     ,    , ,0.07,      ,         ,
267.2990456,20.19725464,K0                        ,K0,60, ,     ,    , ,0.944,1.22,4.64,
267.3222804,-30.5974446,F2 IV/V                   ,F2,42,4,-0.14,1.4, ,0.355,2.24,4.46,
267.3293415,1.961411816,K0/1 III                  ,K0,60,3,0,    , ,1.236,-1.69,54.77,HR 6639
267.3307597,24.17638707,A2                        ,A2,32, ,     ,    , ,0.173,0.64,32.05,
267.3319314,46.68333569,A2                        ,A2,32, ,     ,    , ,0.331,      ,         ,
267.3360151,-23.36922091,A9 V                      ,A9,39,5,     ,    , ,0.331,1.96,6.82,
267.3368476,53.01508157,M0                        ,M0,70, ,     ,    , ,1.561,      ,         ,
267.3467988,-58.08679409,F0IV                      ,F0,40,4,     ,    , ,0.43,      ,         ,
267.3495957,-34.09461805,B9 V                      ,B9,29,5,     ,    , ,0.131,      ,         ,
267.3518251,33.18961873,F5                        ,F5,45, ,     ,    , ,0.4,1.88,6.11,
267.3531369,-38.98378067,O9.5 VN               ,O9,19,5,     ,    , ,-0.077,      ,         ,
267.3591521,-29.43865151,A9 V                      ,A9,39,5,     ,    , ,0.366,1.58,8.19,
267.3626319,76.96287874,F7IV                      ,F7,47,4,-0.12,2.2, ,0.518,1.38,8.59,35 Draconis HR 6701
267.3634377,-20.83090883,K5/M0 III                 ,K5,65,3,     ,    , ,1.783,-2.74,         ,
267.3638013,-7.784896146,G6 III/IV                 ,G6,56,3,     ,    , ,1.237,      ,         ,
267.3670167,68.68903027,kA2hA4mF0                 ,,, ,     ,    , ,0.261,1.33,14.62,
267.3683021,-29.31477147,F0 V                      ,F0,40,5,-0.28,1.7, ,0.325,2.33,4.57,
267.3695359,-8.823347986,A1 III                    ,A1,31,3,     ,    , ,0.5,      ,         ,
267.3712408,-35.37810364,B9.5 V                    ,B9,29,5,     ,    , ,0.022,0.03,76.66,
267.381896,-45.66297411,F2 IV/V                   ,F2,42,4,     ,    , ,0.378,      ,         ,
267.386501,-69.74839633,B9V                       ,B9,29,5,     ,    , ,-0.006,      ,         ,
267.3913053,56.82710579,K5                        ,K5,65, ,     ,    , ,1.491,      ,         ,
267.3912704,0.906227033,M1 III                    ,M1,71,3,     ,    , ,1.898,      ,         ,
267.392909,20.63730158,M4III                     ,M4,74,3,     ,    , ,1.584,      ,         ,
267.3983883,-20.00672703,A3 V                      ,A3,33,5,     ,    , ,0.196,      ,10.68,
267.3992737,4.376657797,A5                        ,A5,35, ,     ,    , ,0.36,1.79,6.37,
267.4134571,-77.23782866,K2/3III                   ,K2,62,3,     ,    , ,1.472,      ,         ,
267.4192406,39.60772429,K0                        ,K0,60, ,     ,    , ,1.292,-2.78,130.84,
267.424119,-29.2825312,F0                        ,F0,40, ,     ,    , ,0.561,2.41,2.77,
